,Name,Price,Format,Rating,URL
145,Self-Love Journal: A journey to inner peace and happiness,$18.49,Paperback ,5.0 out of 5 stars,https://www.amazon.com//Self-Love-Journal-journey-inner-happiness/dp/1925924459/ref=sr_1_157?dchild=1&keywords=self+love&qid=1633860692&sr=8-157
146,Self Care Workbook for Teens: Becoming Who You Are With Self Love & Compassion,$7.99,Paperback ,5.0 out of 5 stars,https://www.amazon.com//Self-Care-Workbook-Teens-Compassion/dp/B099XQCKD6/ref=sr_1_158?dchild=1&keywords=self+love&qid=1633860692&sr=8-158
147,Find Your F*cking Happy: A Journal to Help Pave the Way for Positive Sh*t Ahead (Zen as F*ck Journals),$10.49,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Find-Your-cking-Happy-Positive/dp/1250214270/ref=sr_1_159?dchild=1&keywords=self+love&qid=1633860692&sr=8-159
148,"BEST SELF: Self help book for Women to Work on self Worth, Love and Care, and Discover inner Happiness",$10.99,Paperback ,4.7 out of 5 stars,https://www.amazon.com//BEST-SELF-Women-Discover-Happiness/dp/B09CRKQJ8F/ref=sr_1_160?dchild=1&keywords=self+love&qid=1633860692&sr=8-160
149,"Stop Yelling and Love Me More, Please Mom.: Positive Parenting Is Easier than You Think: Happy Mom, Book 1",$0.00,Audible Audiobook ,4.4 out of 5 stars,https://www.amazon.com//Stop-Yelling-Love-More-Please/dp/B07VXKRX58/ref=sr_1_161?dchild=1&keywords=self+love&qid=1633860692&sr=8-161
150,Love. Heartbreak. Happiness. Pain,$10.10,Paperback ,5.0 out of 5 stars,https://www.amazon.com//Love-Heartbreak-Happiness-Pain-Coleman/dp/0578866986/ref=sr_1_162?dchild=1&keywords=self+love&qid=1633860692&sr=8-162
151,The Love Hypothesis,$9.99,Kindle ,4.7 out of 5 stars,https://www.amazon.com//Love-Hypothesis-Ali-Hazelwood-ebook/dp/B08T6XN4FP/ref=sr_1_163?dchild=1&keywords=self+love&qid=1633860692&sr=8-163
152,Wired for Love: How Understanding Your Partner's Brain and Attachment Style Can Help You Defuse Conflict and Build a Secure Relationship,$17.95,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Wired-Love-Understanding-Attachment-Relationship/dp/1608820580/ref=sr_1_165?dchild=1&keywords=self+love&qid=1633860692&sr=8-165
153,Calm as Ever: Black Women Self Care Journal (90 Days) of Gratitude and Self Love,$10.99,Paperback ,4.8 out of 5 stars,https://www.amazon.com//Calm-Ever-Black-Journal-Gratitude/dp/1734879750/ref=sr_1_166?dchild=1&keywords=self+love&qid=1633860692&sr=8-166
154,My self love ABC’s,$14.99,Paperback ,4.9 out of 5 stars,https://www.amazon.com//self-love-ABCs-Gabreiel-Outlaw-Spencer/dp/0578674505/ref=sr_1_167?dchild=1&keywords=self+love&qid=1633860692&sr=8-167
155,What Really Is: How would life look if we knew that we are not our thoughts?,$0.00,Kindle ,4.4 out of 5 stars,https://www.amazon.com//What-Really-would-life-thoughts-ebook/dp/B09BFYTHCJ/ref=sr_1_168?dchild=1&keywords=self+love&qid=1633860692&sr=8-168
156,You Can't Break up with Yourself: Falling in Epic Love with Your Life,$18.88,Paperback ,5.0 out of 5 stars,https://www.amazon.com//You-Cant-Break-Yourself-Falling/dp/1736892703/ref=sr_1_169?dchild=1&keywords=self+love&qid=1633860692&sr=8-169
